id,資料集名稱,服務分類,檔案格式,下載連結,資料類型,資料集描述,提供機關,更新頻率,授權方式,授權說明網址,計費方式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,發布時間,修訂時間,備註
28988,基隆市兒童發展篩檢機構,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7065/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E5%85%92%E7%AB%A5%E7%99%BC%E5%B1%95%E7%AF%A9%E6%AA%A2%E6%A9%9F%E6%A7%8B.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/03/23 00:00","2017/07/05 15:25","授權說明網址: http://data.gov.tw/license"
28993,基隆市長照居家護理復健喘息合約機構,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7066/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E9%95%B7%E7%85%A7%E5%B1%85%E5%AE%B6%E8%AD%B7%E7%90%86%E3%80%81%E5%BE%A9%E5%81%A5%E3%80%81%E5%96%98%E6%81%AF%E5%90%88%E7%B4%84%E6%A9%9F%E6%A7%8B.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/03/23 00:00","2017/07/05 15:25","授權說明網址: http://data.gov.tw/license"
28994,基隆市固定污染源空氣污染物監測數據-日報,公共資訊,WEBSERVICES,http://211.72.213.70/ws_cems/service.asmx,UTF-8,a01,,基隆市環境保護局,每日,政府資料開放授權條款-第1版,http://211.72.213.70/CEMS_PUBLIC,免費,莊小姐,0224651115#217,"2016/03/23 00:00","2016/05/23 22:59","授權說明網址: http://data.gov.tw/license"
28995,基隆市哺集乳室資料庫,生育保健,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7067/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E5%93%BA%E9%9B%86%E4%B9%B3%E5%AE%A4%E8%B3%87%E6%96%99%E5%BA%AB.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/03/23 00:00","2017/07/05 15:24","授權說明網址: http://data.gov.tw/license"
29021,基隆市固定污染源空氣污染物監測數據-即時,公共資訊,WEBSERVICES,http://211.72.213.70/ws_cems/service.asmx,UTF-8,a01,,基隆市環境保護局,每小時,政府資料開放授權條款-第1版,http://211.72.213.70/CEMS_PUBLIC,免費,莊小姐,0224651115#217,"2016/03/23 00:00","2016/05/23 22:59","授權說明網址: http://data.gov.tw/license"
31159,每月基隆市道路交通事故月報表,交通及通訊,其他;壓縮檔,http://www.klg.gov.tw/cht/index.php?code=list&ids=284;www.klg.gov.tw/upload/cht/attachment/967977473688a15ae3395e8fd0011b29.zip,UTF-8;UTF-8,a01,,基隆市警察局,每月,政府資料開放授權條款-第1版,,免費,張先生,0224233853,"2016/05/11 00:00","2017/08/02 21:43","授權說明網址: http://data.gov.tw/license"
31251,基隆市-學前教育,求學及進修,CSV;CSV,https://kids.kl.edu.tw/a_href.php?url=776562506167652f34372f34375fe59fbae99a86e5b882313036e5adb8e5b9b4e5baa6e585ace7ab8be5b9bce58592e59c92e5908de98c84202833292e637376;https://kids.kl.edu.tw/a_href.php?url=776562506167652f31322f31325fe59fbae99a86e5b882313036e5adb8e5b9b4e5baa6e7a781e7ab8be5b9bce58592e59c92e5908de98c84202e637376,UTF-8;UTF-8,a01,,基隆市政府教育處,每年,政府資料開放授權條款-第1版,https://kids.kl.edu.tw/?id=47;https://kids.kl.edu.tw/?id=47,免費,郭小姐,24301505#802,"2016/05/05 00:00","2017/08/17 11:54","授權說明網址: http://data.gov.tw/license"
31818,基隆市衛生局104年度職員官等性別統計表,公共資訊,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7360/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80104%E5%B9%B4%E5%BA%A6%E8%81%B7%E5%93%A1%E5%AE%98%E7%AD%89%E6%80%A7%E5%88%A5%E7%B5%B1%E8%A8%88%E8%A1%A8.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7359/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80104%E5%B9%B4%E5%BA%A6%E8%81%B7%E5%93%A1%E5%AE%98%E7%AD%89%E6%80%A7%E5%88%A5%E7%B5%B1%E8%A8%88%E8%A1%A8.csv,免費,吳先生,0224230181#1321;0224230181#136,"2016/05/30 00:00","2017/07/05 15:23","授權說明網址: http://data.gov.tw/license"
31819,基隆市衛生局105年度戒菸合約機構,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7361/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80105%E5%B9%B4%E5%BA%A6%E6%88%92%E8%8F%B8%E5%90%88%E7%B4%84%E6%A9%9F%E6%A7%8B.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/05/30 00:00","2017/07/05 15:23","授權說明網址: http://data.gov.tw/license"
31848,基隆市衛生局103年度單位決算,公共資訊,PDF,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/10121/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80103%E5%B9%B4%E5%BA%A6%E5%96%AE%E4%BD%8D%E6%B1%BA%E7%AE%97.pdf,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/05/30 00:00","2017/07/10 15:43","授權說明網址: http://data.gov.tw/license"
31849,基隆市衛生局105年度單位預算,公共資訊,XLS,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7365/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E8%A1%9B%E7%94%9F%E5%B1%80105%E5%B9%B4%E5%BA%A6%E5%96%AE%E4%BD%8D%E9%A0%90%E7%AE%97.zip,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/05/30 00:00","2017/07/05 15:22","授權說明網址: http://data.gov.tw/license"
31850,基隆市餐飲衛生管理分級104年通過標章名單,公共資訊,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7367/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E9%A4%90%E9%A3%B2%E8%A1%9B%E7%94%9F%E7%AE%A1%E7%90%86%E5%88%86%E7%B4%9A104%E5%B9%B4%E9%80%9A%E9%81%8E%E6%A8%99%E7%AB%A0%E5%90%8D%E5%96%AE.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/05/30 00:00","2017/07/05 15:21","授權說明網址: http://data.gov.tw/license"
31858,基隆市105年糖尿病健康促進機構及醫師名單,公共資訊,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7369/file/%E5%9F%BA%E9%9A%86%E5%B8%82105%E5%B9%B4%E7%B3%96%E5%B0%BF%E7%97%85%E5%81%A5%E5%BA%B7%E4%BF%83%E9%80%B2%E6%A9%9F%E6%A7%8B%E5%8F%8A%E9%86%AB%E5%B8%AB%E5%90%8D%E5%96%AE.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/05/31 00:00","2017/07/05 15:20","授權說明網址: http://data.gov.tw/license"
31862,基隆市104年流感合約院所,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7372/file/%E5%9F%BA%E9%9A%86%E5%B8%82104%E5%B9%B4%E6%B5%81%E6%84%9F%E5%90%88%E7%B4%84%E9%99%A2%E6%89%80.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/05/31 00:00","2017/07/05 15:37","授權說明網址: http://data.gov.tw/license"
36947,基隆市105年公告土地現值及公告地價,公共資訊,CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3438,UTF-8,a01,,基隆市政府地政處,每年,政府資料開放授權條款-第1版,http://163.29.218.196/query/valueprice.jsp?menu=true&type=P,免費,蔡小姐,0224201122#2406;02242011222406,"2016/10/03 00:00","2017/07/11 14:14","授權說明網址: http://data.gov.tw/license"
38824,105年基隆市公費克流感配置點,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/8589/file/105%E5%B9%B4%E5%9F%BA%E9%9A%86%E5%B8%82%E5%85%AC%E8%B2%BB%E5%85%8B%E6%B5%81%E6%84%9F%E9%85%8D%E7%BD%AE%E9%BB%9E.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/11/08 00:00","2017/07/05 15:38","授權說明網址: http://data.gov.tw/license"
42338,基隆市106年公告土地現值,公共資訊,CSV,http://land.klcg.gov.tw/ReadFile?p=Business&id=3440,UTF-8,a01,,基隆市政府地政處,每年,政府資料開放授權條款-第1版,http://163.29.218.196/query/valueprice.jsp?menu=true&type=P,免費,蔡小姐,0224201122#2406;02242011222406,"2017/01/09 00:00","2017/07/11 14:39","授權說明網址: http://data.gov.tw/license"
42578,基隆市水域遊憩活動管理相關公告,休閒旅遊,其他,http://tourism.klcg.gov.tw/tw/Subject/ThemesServiceLi?ClassId=08130600,UTF-8,a01,,基隆市政府交通旅遊處,每季,政府資料開放授權條款-第1版,,免費,李先生,0224264866,"2017/01/25 00:00","2017/09/27 14:54","授權說明網址: http://data.gov.tw/license"
44662,基隆市最近五年房屋稅綜合統計表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=2688&filekey=0,UTF-8,a01,,基隆市稅務局,每年,政府資料開放授權條款-第1版,,免費,郭小姐,0224331888#321,"2017/03/31 00:00","2017/07/06 15:35","授權說明網址: http://data.gov.tw/license"
44663,基隆市最近5年土地增值稅稅源統計表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=2690&filekey=0,UTF-8,a01,,基隆市稅務局,每年,政府資料開放授權條款-第1版,,免費,陳先生,0224331888#717,"2017/03/31 00:00","2017/07/06 15:34","授權說明網址: http://data.gov.tw/license"
44664,基隆市稅務局行政救濟案件統計表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=2692&filekey=1,UTF-8,a01,,基隆市稅務局,每年,政府資料開放授權條款-第1版,,免費,林先生,0224331888#631,"2017/03/31 00:00","2017/09/15 17:12","授權說明網址: http://data.gov.tw/license"
44665,基隆市多元化繳稅統計表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=2691&filekey=1,UTF-8,a01,,基隆市稅務局,每年,政府資料開放授權條款-第1版,,免費,廖小姐,0224331888#117,"2017/03/31 00:00","2017/09/15 17:07","授權說明網址: http://data.gov.tw/license"
45581,基隆市流感抗病毒藥劑合約院所,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/10093/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E6%B5%81%E6%84%9F%E6%8A%97%E7%97%85%E6%AF%92%E8%97%A5%E5%8A%91%E5%90%88%E7%B4%84%E9%99%A2%E6%89%80.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2017/05/17 00:00","2017/07/05 15:41","授權說明網址: http://data.gov.tw/license"
45624,基隆市政府消防局各單位通訊錄,公共資訊,CSV,http://www.klfd.gov.tw/wSite/public/Attachment/f1060518.csv,UTF-8,a01,,基隆市消防局,不定期,政府資料開放授權條款-第1版,,免費,林先生,0224302691#456,"2017/05/26 00:00","2017/07/10 14:11","授權說明網址: http://data.gov.tw/license"
45672,基隆市建檔管理公廁,公共資訊,JSON;CSV;XML,http://opendata.epa.gov.tw/ws/Data/OTH01092/?$skip=0&$top=1000&format=json;http://opendata.epa.gov.tw/ws/Data/OTH01092/?$skip=0&$top=1000&format=csv;http://opendata.epa.gov.tw/ws/Data/OTH01092/?$skip=0&$top=1000&format=xml,UTF-8;UTF-8;UTF-8,a01,,基隆市環境保護局,即時,政府資料開放授權條款-第1版,https://ecolife.epa.gov.tw/ctrlplace/default.aspx?type=4;https://ecolife.epa.gov.tw/ctrlplace/default.aspx?type=4;https://ecolife.epa.gov.tw/ctrlplace/default.aspx?type=4,免費,簡小姐,0224651115#229,"2017/05/22 00:00","2017/07/24 17:42","授權說明網址: http://data.gov.tw/license"
45693,基隆市公車站牌與路線資訊,交通及通訊,XML,http://www.klcba.gov.tw,UTF-8,a01,,基隆市公共汽車管理處,每季,政府資料開放授權條款-第1版,,免費,張先生,0224622171#222,"2017/07/19 00:00","2017/07/19 09:39","授權說明網址: http://data.gov.tw/license"
45709,基隆市統計年報,公共資訊,XLS,http://accounting.klcg.gov.tw/tw/Subject/SAReportList,UTF-8,a01,,基隆市政府主計處,每年,政府資料開放授權條款-第1版,http://accounting.klcg.gov.tw/tw/Subject/SAReportList,免費,洪先生,0224201122#1423,"2017/06/03 00:00","2017/06/03 15:34","授權說明網址: http://data.gov.tw/license"
45710,基隆市政府機關年度預算-總預算,公共資訊,PDF,http://accounting.klcg.gov.tw/tw/Subject/ThemesServiceLi?ClassId=08060900,UTF-8,a01,,基隆市政府主計處,每年,政府資料開放授權條款-第1版,http://accounting.klcg.gov.tw/tw/Subject/ThemesServiceLi?ClassId=08060900,免費,洪先生,0224201122#1423,"2017/06/03 00:00","2017/06/03 15:33","授權說明網址: http://data.gov.tw/license"
45711,基隆市政府機關年度預算-追加預算,公共資訊,PDF,http://accounting.klcg.gov.tw/tw/Subject/ThemesServiceLi?ClassId=08060500,UTF-8,a01,,基隆市政府主計處,每年,政府資料開放授權條款-第1版,http://accounting.klcg.gov.tw/tw/Subject/ThemesServiceLi?ClassId=08060500,免費,洪先生,0224201122#1423,"2017/06/05 00:00","2017/06/05 11:54","授權說明網址: http://data.gov.tw/license"
45714,基隆市合法托嬰中心名單,生育保健,CSV,http://social.klcg.gov.tw/social_srv/info_view.php?file=dl&fid=5411&dept_id=1&serno=20160307212108,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 17:16","授權說明網址: http://data.gov.tw/license"
45718,基隆市合法老人福利機構資料,老年安養,其他,http://social.klcg.gov.tw/social_srv/welfare_list.php?Kid=11&Mid=5&Cid=5,UTF-8,a01,,基隆市政府社會處,每月,政府資料開放授權條款-第1版,http://social.klcg.gov.tw/social_srv/welfare_list.php?Kid=11&Mid=5&Cid=5,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/30 11:32","授權說明網址: http://data.gov.tw/license"
45719,基隆市托育資源中心,生育保健,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=7&Cid=1,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 09:51","授權說明網址: http://data.gov.tw/license"
45720,基隆市青少年中心,求學及進修,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=7&Cid=3,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:27","授權說明網址: http://data.gov.tw/license"
45721,基隆市婦幼福利服務中心,出生及收養,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=6&Cid=4,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:28","授權說明網址: http://data.gov.tw/license"
45722,基隆市遊民服務,生活安全及品質,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=9&Cid=11,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:30","授權說明網址: http://data.gov.tw/license"
45723,基隆市身障福利機構,公共資訊,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=8&Cid=6,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:32","授權說明網址: http://data.gov.tw/license"
45724,基隆市老人文康中心,老年安養,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=5&Cid=7,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:34","授權說明網址: http://data.gov.tw/license"
45725,基隆市社區照顧關懷據點,生活安全及品質,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=9&Cid=8,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:41","授權說明網址: http://data.gov.tw/license"
45726,基隆市綜合性家庭福利中心,生活安全及品質,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=11&Cid=9,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:45","授權說明網址: http://data.gov.tw/license"
45727,基隆市志願服務推廣中心,公共資訊,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=10&Cid=10,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:44","授權說明網址: http://data.gov.tw/license"
45728,基隆市家事服務中心,公共資訊,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=7&Cid=12,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:47","授權說明網址: http://data.gov.tw/license"
45729,基隆市家庭暴力暨性侵害防治中心,生活安全及品質,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=15&Cid=13,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:49","授權說明網址: http://data.gov.tw/license"
45730,基隆市政府駐基隆法院家庭暴力事件服務處,公共資訊,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=15&Cid=14,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,http://social.klcg.gov.tw/social_srv/welfare_list.php?Kid=11&Mid=15&Cid=14,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:52","授權說明網址: http://data.gov.tw/license"
45732,基隆市災民避難收容場所位置,公共資訊,CSV,http://social.klcg.gov.tw/news/info_view.php?file=dl&fid=5420&dept_id=1&serno=20170929085544,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/30 16:04","授權說明網址: http://data.gov.tw/license"
45745,基隆市應回收廢棄物回收處理業名單,公共資訊,CSV,http://opendata.epa.gov.tw/ws/Data/OTH01092/?$skip=0&$top=1000&format=csv,UTF-8,a01,,基隆市環境保護局,每季,政府資料開放授權條款-第1版,http://www.klepb.gov.tw/news/index-1.asp?m=9&m1=11&m2=56&gp=&id=4461,免費,許小姐,0224669897#46,"2017/08/10 00:00","2017/08/10 08:56","授權說明網址: http://data.gov.tw/license"
45749,基隆市兒童及少年安置教養機構,出生及收養,CSV,http://social.klcg.gov.tw/social_srv/info_view.php?file=dl&fid=5412&dept_id=1&serno=20170524183204,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 17:25","授權說明網址: http://data.gov.tw/license"
45750,基隆市兒少安置機構營運概況,出生及收養,其他,http://www.cfcf.org.tw/,UTF-8,a01,,基隆市政府社會處,每季,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/30 11:31","授權說明網址: http://data.gov.tw/license"
45751,基隆市老人福利機構名冊,老年安養,CSV,http://social.klcg.gov.tw/social_srv/welfare_dl.php?file=dl&Kid=11&Mid=5&Cid=5,BIG5,a01,,基隆市政府社會處,不定期,政府資料開放授權條款-第1版,,免費,陳先生,24201122,"2017/06/03 00:00","2017/09/29 10:21","授權說明網址: http://data.gov.tw/license"
45756,基隆旅遊網,休閒旅遊,WMS,http://tour.klcg.gov.tw/Index.aspx?hl=zh-TW,UTF-8,a01,,基隆市政府交通旅遊處,每季,政府資料開放授權條款-第1版,http://tour.klcg.gov.tw/Index.aspx?hl=zh-TW,免費,劉先生,0224274830,"2017/08/08 00:00","2017/08/08 17:17","授權說明網址: http://data.gov.tw/license"
