區別,機構名稱,電話,傳真,地址,網址
中山區,西榮里辦公處,02-2428-2233,,基隆市中山區西定路80巷48號,
仁愛區,英仁社區發展協會,02-2423-3256,,基隆市仁愛區南榮路393巷20號,
仁愛區,吉仁社區發展協會,02-2422-9088 2423-9415,,基隆市仁愛區南新街29之6號2樓,
仁愛區,文昌社區發展協會,02-2425-8305 2423-8780,,基隆市仁愛區文昌里4鄰孝三路65巷18號,www.facebook.com/groups/aa470412/
仁愛區,財團法人基督教基隆靈糧堂,02-2421-2036,,基隆市仁愛區忠四路13號8樓,www.facebook.com/llckl/
仁愛區,獅球里辦公處,02-2431-7291,,基隆市仁愛區獅球路115號,
仁愛區,書院里辦公處,02-2430-3107,,基隆市仁愛區獅球路50號,
仁愛區,崇文社區發展協會,02-2425-5601,,基隆市仁愛區龍安街146-1號,
仁愛區,和明里辦公處,02-2430-1122#316,,基隆市仁愛區仁二路137巷2弄1-3號,
仁愛區,朝棟里辦公處,02-2433-8633,,基隆市仁愛區成功一路113巷52弄2號,
信義區,仁壽社區發展協會,02-2421-1490 2426-9500,,基隆市信義區信二路249號,
信義區,基隆市恩惠全人關懷協會,02-2465-0910,,基隆市信義區東信路3巷34號,
信義區,義昭社區發展協會,02-2428-4850,,基隆市信義區信一路65巷7號1樓,
信義區,東明社區發展協會,02-2465-1989 2465-5495,,基隆市信義區東信路35巷47號1樓,www.facebook.com/Dongming1010/
信義區,孝深社區發展協會,02-2468-3378,,基隆市信義區深澳坑路75號,www.facebook.com/groups/870617616312766/?fref=ts
信義區,智慧社區發展協會,02-2425-1962,,基隆市信義區仁一路7巷61號,www.facebook.com/groups/1734733796754741/?fref=ts
信義區,仁義社區發展協會,02-2425-0514 2428-7750,,基隆市信義區信二路246巷32號2樓,
信義區,義和里辦公處,02-2426-2441,,基隆市信義區信二路6號3樓,
信義區,禮東社區發展協會,02-2466-3955,,基隆市信義區東明路67巷7號,https://.facebook.com/pages/%E5%9F%BA%E9%9A%86%E5%B8%82%E7%A6%AE%E6%9D%B1%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83/247037245408393
信義區,孝賢里辦公處,02-24661156,,基隆市信義區教孝街57號2樓,
中正區,基隆市愛鄉文化協會,02-2462-7178 2462-1365,,基隆市中正區和一路153號,www.facebook.com/keelungsociety/?fref=ts
中正區,長潭社區發展協會,02-2469-7015,,基隆市中正區北寧路369巷68號,
中正區,基隆市雞籠松柏協會,02-2469-5994,,基隆市中正區八斗街106-1號,
中正區,砂灣社區發展協會,02-2463-6523 2462-1179,,基隆市中正區祥豐街193號1樓,
中正區,平寮社區發展協會,02-2463-1305,,基隆市中正區和一路186號,www.facebook.com/KeelungPingLiao/?ref=br_rs
中正區,基隆市新豐愛鄉協會,02-2469-3036,,基隆市中正區新豐街200號1樓,www.facebook.com/groups/630891100269254/?fref=ts
中正區,砂子社區發展協會,02-2469-4394,,基隆市中正區調和街3號3樓,www.facebook.com/%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%A0%82%E5%AD%90%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83-340299319341086/
中正區,社寮社區發展協會,02-2462-2496,,基隆市中正區和一路86號2樓,
中正區,新豐富松柏協會,02-2469-6543,,基隆市中正區新豐街303巷6弄9號1樓,
中正區,正砂社區發展協會,02-2462-2020,,基隆市中正區中正路165號之1,
